discord_name,vrc_name,runstyle,role
galacticcanidae,GalacticCanidae,PC,0
liliumlevana,Lilium Levana,LS+EC,1
lyayu,lYayu,EC,2
r3n0wned,R3NOWNED,FR+PC,2
eeveefanthefirst,OrferveFan,PC+LS,2
1225holidaygirl,Tusutuau,FR+PC+LS,2
pauln.123456,Goofy Ah Paul,LS+EC,2
xsqueaky45,xsqueaky45,LS,3
agir_sol,Aegir Sol,EC,3
jct2020,JT2020,PC+EC,3
jenniferfairfieldvo,Sunshine Daze,C+LS,3
cobaltspectre,Cobalt Spectre,LS+EC,3
tocina,Bacon-Hair,EC,3
daisysato,daisysatovt,PC,3
succubunie,Succubunie,EC,3
tgigreaser,Vuree,FR+PC+LS+EC,3
shubaru,Shubaru,FR+PC,3
???,Texas_Schuster,??,3
