discord_name,vrc_name,runstyle,role
the_k05,Kiyømi,FR,0
nobleskoogs,Nobleskoogs,EC+LS+PC+FR,1
scarletreaper,ScarletValemont,PC+LS,1
yosune_suzuki,MachitanGroove,PC,3
kaiokura,Kaiokura,EC,3
polaritus,Polaritus,FR,3
itsrimaru,ItsRimaru,FR,3
cosmic_floof,Cosmic_Floof,FR,3
nikkitine,Nikkitine,EC,3
koishikomeiji0772,koishi 205,FR,3
reverbedskrew,ReverbedSkrew,EC,3
ultragalaxy,Ultra-Galaxy,EC,3
vikash48,Vikash 48,FR,3
visy5785,Vissy-1,EC,2
yuval14,yuvalh,LS,3
bekapham,Bekapham,LS,3
mrtheshadowon,MrTheshadowon,EC,3
valkyrie.vrc,Valkyrie,FR,3
asianbrazen,Kaiokura,FR+PC+LS+EC,3
davekinda,Markley3002,PC,3
rylrith,MorganStriker,EC,3
silverwolf244,silverwolf244,FR+LS,3
luluveeowo,LuluVee,PC,3
taffymeek,Taffy D Meek,PC,3
