discord_name,vrc_name,runstyle,role
galacticcanidae,GalacticCanidae,PC,0
Eeveefanthefirst,OrfevreFan,PC+LS,1
justmajorrr,Majorrris,PC+LS,2
lyayu,lYayu,EC,2
xsqueaky45,xsqueaky45,LS,3
Jct2020,JCT2020,PC+EC,3
jenniferfairfieldvo,Sunshine Daze,PC+LS,3
cobaltspectre,Cobalt Spectre,LS+EC,3
tocina,Bacon-Hair,EC,3
tgigreaser,Vuree,FR+PC+LS+EC,3
rubycelestial,RubyCelestia,LS+EC,3
niycaionic,Niycaionic,FR+PC,3
shubaru,Shubaru,FR+PC,3
seraphyna_neyla,Seraphyna,LS+EC,3
flandrescarlet_495,Marshmallow_VT,LS,3
kaiyakura,Kaiya Kura,LS,3
yingyang535,UtilizedBall38,LS,3
genesisofkosmo,GenesisOfKosmo,FR+PC,3
shadowprince2515,ShadowPrince25,PC,3
pbg9642,PBGrrgaming,LS,3
